fichier,ad_id,etat_declare,photo_origine,largeur,hauteur,fraction_cadre
3239696003.jpg,3239696003,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239696003/02.jpg,600,771,0.8951466417940813
3240478077.jpg,3240478077,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240478077/00.jpg,502,315,0.2761727754598265
3239200201.jpg,3239200201,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239200201/01.jpg,546,518,0.5063959026382824
3240311634.jpg,3240311634,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240311634/01.jpg,562,349,0.34152040353429763
3239622624.jpg,3239622624,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239622624/02.jpg,369,800,0.9552609586715698
3240415941.jpg,3240415941,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240415941/16.jpg,757,600,0.8380704469047467
3240374400.jpg,3240374400,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240374400/01.jpg,600,583,0.6576401940775264
3240387352.jpg,3240387352,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240387352/01.jpg,743,406,0.8119062554889593
3240326409.jpg,3240326409,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240326409/01.jpg,425,353,0.28918950126526766
3240099536.jpg,3240099536,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240099536/01.jpg,644,775,0.8973321486132216
3239412856.jpg,3239412856,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239412856/00.jpg,727,441,0.5515626561192585
3240404350.jpg,3240404350,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240404350/01.jpg,386,275,0.20570961394420664
3222137133.jpg,3222137133,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3222137133/03.jpg,450,690,0.7744032075598831
3240338879.jpg,3240338879,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240338879/02.jpg,900,628,0.7840442566926016
3240363630.jpg,3240363630,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240363630/02.jpg,900,565,0.7144801603743306
2853808581.jpg,2853808581,undamaged,dl/data/leboncoin-private/raw/images/undamaged/2853808581/01.jpg,600,793,0.9052684926986694
3240373184.jpg,3240373184,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240373184/00.jpg,900,466,0.5820021974407352
3240405769.jpg,3240405769,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240405769/02.jpg,898,694,0.6106627849652432
3240172635.jpg,3240172635,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240172635/02.jpg,600,591,0.6940140240144137
3239483743.jpg,3239483743,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3239483743/00.jpg,600,413,0.4390189269997412
3217494018.jpg,3217494018,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3217494018/01.jpg,595,361,0.3697691135844667
3223301080.jpg,3223301080,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3223301080/00.jpg,595,477,0.48782314582310177
3205835087.jpg,3205835087,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3205835087/01.jpg,900,388,0.4970665878662474
3217573580.jpg,3217573580,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3217573580/00.jpg,841,376,0.2724756445400727
3240457933.jpg,3240457933,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240457933/01.jpg,900,423,0.5118955251491127
3169368593.jpg,3169368593,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3169368593/00.jpg,900,646,0.6269359307076792
3240330088.jpg,3240330088,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240330088/00.jpg,632,600,0.7376402682813845
3240109489.jpg,3240109489,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240109489/01.jpg,600,441,0.5233799330064705
3240357918.jpg,3240357918,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240357918/00.jpg,456,276,0.21660058898176796
3240477163.jpg,3240477163,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240477163/02.jpg,600,800,0.9502274377741392
3240451583.jpg,3240451583,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240451583/02.jpg,800,701,0.8271332630188999
3240145467.jpg,3240145467,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240145467/01.jpg,900,388,0.4848947228795279
3240366138.jpg,3240366138,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240366138/00.jpg,850,557,0.4585220583537996
3240479497.jpg,3240479497,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3240479497/02.jpg,559,358,0.35090572631917893
3240192419.jpg,3240192419,undamaged,dl/data/leboncoin-private/raw/images/undamaged/3240192419/08.jpg,576,464,0.48134613005930443
3235773233.jpg,3235773233,excellent_condition,dl/data/leboncoin-private/raw/images/excellent_condition/3235773233/00.jpg,900,373,0.3979584714964879
