chemin,largeur,hauteur,n_vehicules,boite,score,classe,fraction_cadre
dl/data/leboncoin-private/annot/img/0006.jpg,450,800,2,"[74.29936981201172, 106.82412719726562, 449.4457092285156, 696.04736328125]",0.9426704049110413,car,0.6140137225445923
dl/data/leboncoin-private/annot/img/0007.jpg,685,800,6,"[18.805532455444336, 31.861919403076172, 651.05419921875, 560.7944946289062]",0.9952772855758667,car,0.6102498457923594
dl/data/leboncoin-private/annot/img/0008.jpg,800,600,5,"[0.0, 149.52099609375, 800.0, 596.7650756835938]",0.9941282272338867,car,0.7454067993164063
dl/data/leboncoin-private/annot/img/0013.jpg,450,800,2,"[29.276674270629883, 131.89971923828125, 411.90252685546875, 506.8231506347656]",0.5596813559532166,truck,0.39848721553364774
dl/data/leboncoin-private/annot/img/0014.jpg,600,800,1,"[0.0, 101.68701934814453, 600.0, 789.298828125]",0.9579006433486938,truck,0.8595147609710694
dl/data/leboncoin-private/annot/img/0016.jpg,800,600,1,"[46.434471130371094, 25.044090270996094, 721.5685424804688, 549.0028076171875]",0.997943103313446,car,0.7369632959610609
dl/data/leboncoin-private/annot/img/0019.jpg,600,800,1,"[0.0, 0.0, 599.8551025390625, 787.503173828125]",0.7395849823951721,car,0.9841412439302231
dl/data/leboncoin-private/annot/img/0020.jpg,600,800,1,"[0.0, 4.2483673095703125, 593.154052734375, 691.8474731445312]",0.9371102452278137,car,0.849692075588624
dl/data/leboncoin-private/annot/img/0021.jpg,800,800,4,"[13.78192138671875, 112.99154663085938, 693.4129028320312, 711.819580078125]",0.9970765113830566,car,0.6359095063886431
dl/data/leboncoin-private/annot/img/0022.jpg,600,800,2,"[7.455848693847656, 107.63630676269531, 416.94635009765625, 680.9170532226562]",0.9629483222961426,car,0.4890687923188314
dl/data/leboncoin-private/annot/img/0025.jpg,600,800,2,"[15.456619262695312, 167.9106903076172, 573.7816772460938, 634.877197265625]",0.9192852973937988,car,0.5431647959867391
dl/data/leboncoin-private/annot/img/0028.jpg,600,800,6,"[23.577438354492188, 216.88233947753906, 533.27978515625, 584.9431762695312]",0.9839584827423096,car,0.39083640058061914
dl/data/leboncoin-private/annot/img/0031.jpg,800,656,7,"[0.0, 3.629565954208374, 800.0, 631.6260986328125]",0.9967159032821655,car,0.9573117876198234
dl/data/leboncoin-private/annot/img/0032.jpg,600,800,1,"[12.804588317871094, 303.0711975097656, 599.119384765625, 729.775146484375]",0.9804153442382812,car,0.5212142478885434
dl/data/leboncoin-private/annot/img/0034.jpg,601,800,7,"[1.7563174962997437, 317.7154235839844, 515.1610717773438, 726.77099609375]",0.9966151118278503,car,0.436795082553386
dl/data/leboncoin-private/annot/img/0035.jpg,600,800,1,"[32.72296142578125, 344.70477294921875, 526.6101684570312, 750.8167724609375]",0.9831581115722656,car,0.41786150245983156
dl/data/leboncoin-private/annot/img/0037.jpg,1024,575,2,"[141.66139221191406, 4.977139472961426, 1006.9627075195312, 569.685791015625]",0.5276262164115906,truck,0.8298966354372582
dl/data/leboncoin-private/annot/img/0038.jpg,1024,768,10,"[8.71939468383789, 81.58544921875, 918.088623046875, 510.7124938964844]",0.999030590057373,car,0.4962093728234633
dl/data/leboncoin-private/annot/img/0040.jpg,1024,461,7,"[86.72425842285156, 0.0, 889.8029174804688, 453.5806884765625]",0.9874623417854309,car,0.7716347170641875
dl/data/leboncoin-private/annot/img/0042.jpg,602,800,10,"[83.59701538085938, 75.61609649658203, 579.46826171875, 511.60565185546875]",0.9991114735603333,car,0.44890922800272826
dl/data/leboncoin-private/annot/img/0043.jpg,600,800,3,"[13.023948669433594, 99.20553588867188, 600.0, 711.8636474609375]",0.9471197128295898,truck,0.749199248221521
dl/data/leboncoin-private/annot/img/0046.jpg,788,800,1,"[30.430091857910156, 82.97314453125, 766.32763671875, 709.4908447265625]",0.9734116196632385,car,0.7313655415380556
dl/data/leboncoin-private/annot/img/0047.jpg,800,600,2,"[0.0, 108.27513885498047, 767.5159301757812, 502.6929931640625]",0.7880475521087646,truck,0.6306708048499393
dl/data/leboncoin-private/annot/img/0048.jpg,1024,461,2,"[7.139628887176514, 87.72063446044922, 806.6594848632812, 457.5277099609375]",0.9960628151893616,truck,0.6263305393825729
dl/data/leboncoin-private/annot/img/0049.jpg,1024,768,1,"[145.7974090576172, 99.28959655761719, 1024.0, 738.5750122070312]",0.998530387878418,car,0.7138851272265034
dl/data/leboncoin-private/annot/img/0051.jpg,450,800,2,"[70.4065170288086, 270.0633239746094, 450.0, 594.8551635742188]",0.9976577758789062,car,0.3424690712062118
dl/data/leboncoin-private/annot/img/0052.jpg,600,800,4,"[3.2063140869140625, 94.57347869873047, 495.07177734375, 764.3748779296875]",0.9968199729919434,car,0.6863586990058574
dl/data/leboncoin-private/annot/img/0054.jpg,1024,768,1,"[94.71752166748047, 152.15924072265625, 911.2627563476562, 598.33544921875]",0.9992050528526306,car,0.46326072295526366
dl/data/leboncoin-private/annot/img/0055.jpg,600,800,8,"[0.0, 217.3853302001953, 600.0, 702.008056640625]",0.9970597624778748,car,0.6057784080505371
dl/data/leboncoin-private/annot/img/0056.jpg,600,800,1,"[153.48800659179688, 160.6599884033203, 600.0, 797.93701171875]",0.9649381637573242,car,0.5928163209037884
dl/data/leboncoin-private/annot/img/0057.jpg,800,641,1,"[48.511940002441406, 0.0, 769.8073120117188, 631.9327392578125]",0.9270674586296082,truck,0.8888653670979046
dl/data/leboncoin-private/annot/img/0059.jpg,1024,768,2,"[90.58413696289062, 132.1331787109375, 953.84375, 679.9925537109375]",0.9946746826171875,car,0.6013805034144752
dl/data/leboncoin-private/annot/img/0060.jpg,1024,768,2,"[61.77415466308594, 187.67190551757812, 868.9871215820312, 617.8560791015625]",0.9924490451812744,car,0.44155151758868233
dl/data/leboncoin-private/annot/img/0066.jpg,800,510,1,"[26.166851043701172, 67.25140380859375, 774.7970581054688, 473.4103698730469]",0.9981108903884888,car,0.7452521344726102
dl/data/leboncoin-private/annot/img/0067.jpg,600,800,13,"[5.160758972167969, 101.02275848388672, 593.5689697265625, 794.658935546875]",0.9969456791877747,car,0.8502942122086486
dl/data/leboncoin-private/annot/img/0068.jpg,1024,768,3,"[7.846153736114502, 106.1053695678711, 1023.1829223632812, 762.7009887695312]",0.9608927369117737,car,0.8477092416063529
dl/data/leboncoin-private/annot/img/0072.jpg,872,800,1,"[0.0, 206.94772338867188, 872.0, 769.2149658203125]",0.9956978559494019,car,0.7028340530395508
dl/data/leboncoin-private/annot/img/0076.jpg,1024,576,3,"[6.649849891662598, 122.4735336303711, 790.9262084960938, 563.563232421875]",0.9978748559951782,car,0.5865075391746114
dl/data/leboncoin-private/annot/img/0077.jpg,450,800,1,"[49.883907318115234, 196.42665100097656, 447.5188903808594, 554.9030151367188]",0.9982847571372986,car,0.3959520638375276
dl/data/leboncoin-private/annot/img/0078.jpg,1024,768,1,"[83.64686584472656, 237.46310424804688, 912.3515014648438, 633.572509765625]",0.9985176920890808,car,0.4174012509220706
dl/data/leboncoin-private/annot/img/0083.jpg,1024,497,1,"[22.257783889770508, 57.29283905029297, 903.4996948242188, 419.8283996582031]",0.9996927976608276,car,0.6277538870170363
dl/data/leboncoin-private/annot/img/0084.jpg,800,561,4,"[116.3386001586914, 164.916748046875, 656.7903442382812, 515.3977661132812]",0.9974090456962585,car,0.42205453984130903
dl/data/leboncoin-private/annot/img/0086.jpg,600,800,2,"[103.26958465576172, 89.64596557617188, 581.4527587890625, 500.107177734375]",0.9971280694007874,car,0.40890759435085783
dl/data/leboncoin-private/annot/img/0088.jpg,1024,768,5,"[278.6116943359375, 17.877099990844727, 886.0066528320312, 628.0247802734375]",0.9968173503875732,car,0.4712430635347154
dl/data/leboncoin-private/annot/img/0089.jpg,600,800,1,"[5.437705993652344, 95.20604705810547, 504.66522216796875, 764.8258666992188]",0.8602496981620789,car,0.6964429986260974
dl/data/leboncoin-private/annot/img/0090.jpg,600,800,1,"[5.251808166503906, 116.00724029541016, 564.166015625, 720.4305419921875]",0.9669430255889893,car,0.7037932721610454
dl/data/leboncoin-private/annot/img/0093.jpg,450,800,1,"[11.747926712036133, 364.6551818847656, 441.5261535644531, 648.0107421875]",0.9935459494590759,car,0.33827791743245084
dl/data/leboncoin-private/annot/img/0095.jpg,600,800,7,"[127.24356079101562, 221.77630615234375, 583.4268798828125, 540.5948486328125]",0.9885600209236145,car,0.30299937686822764
dl/data/leboncoin-private/annot/img/0096.jpg,675,800,1,"[9.713167190551758, 105.67057800292969, 597.1142578125, 581.564697265625]",0.9968919157981873,car,0.517668008658294
dl/data/leboncoin-private/annot/img/0098.jpg,600,800,1,"[29.263046264648438, 243.52981567382812, 573.5642700195312, 679.2343139648438]",0.9993594288825989,car,0.4940718575318897
dl/data/leboncoin-private/annot/img/0099.jpg,1024,702,1,"[8.865727424621582, 0.0, 1024.0, 618.038818359375]",0.9957549571990967,car,0.8727747539098538
dl/data/leboncoin-private/annot/img/0100.jpg,800,450,1,"[3.7463223934173584, 0.0, 736.8328857421875, 424.9481506347656]",0.9888437986373901,car,0.8653438315284885
